Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,curve25519_donna,orig,999,9,9,378,0,0,396,0,0
main1.c,curve25519_donna,orig-opt,999,9,9,369,0,0,396,0,0
main1.c,curve25519_donna,isochr,1.179,18,18,360,0,0,441,0,0
main1.c,curve25519_donna,isochr-opt,15.822,63,63,621,0,0,3.186,2,2
main2.c,curve25519_donna,orig,999,9,9,378,0,0,396,0,0
main2.c,curve25519_donna,orig-opt,999,9,9,369,0,0,396,0,0
main2.c,curve25519_donna,isochr,1.179,18,18,360,0,0,441,0,0
main2.c,curve25519_donna,isochr-opt,15.822,63,63,621,0,0,3.186,2,2
